card_id,name,rarity,type,cost,attribute,power,counter,color,block,feature,effect,set
EB01-001,Kouzuki Oden,L,LEADER,Life4,Slash,5000,-,Red/Green,2,Land of Wano/Kouzuki Clan,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",-Anime 25th Collection- [EB-02]
EB01-021,Hannyabal,L,LEADER,Life4,Slash,5000,-,Blue/Purple,2,Impel Down,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,-Anime 25th Collection- [EB-02]
EB01-040,Kyros,L,LEADER,Life4,Slash,5000,-,Black/Yellow,2,Dressrosa,[Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: K.O. up to 1 of your opponent's Characters with a cost of 0.,-Anime 25th Collection- [EB-02]
EB02-001,Karoo,C,CHARACTER,5,Strike,7000,1000,Red,3,Animal/Alabasta,-,-Anime 25th Collection- [EB-02]
EB02-002,Sabo,R,CHARACTER,4,Special,5000,2000,Red,3,Dressrosa/Revolutionary Army,[Activate: Main] You may rest this Character: Up to 1 of your {Revolutionary Army} type Characters other than [Sabo] gains +2000 power during this turn.,-Anime 25th Collection- [EB-02]
EB02-003,Tony Tony.Chopper,R,CHARACTER,3,Strike,3000,1000,Red,3,Animal/Drum Kingdom/Straw Hat Crew,"[DON!! x2] [Opponent's Turn] This Character gains +2000 power.[On Play] If your Leader has the {Straw Hat Crew} type, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",-Anime 25th Collection- [EB-02]
EB02-003,Tony Tony.Chopper,R,CHARACTER,3,Strike,3000,1000,Red,3,Animal/Drum Kingdom/Straw Hat Crew,"[DON!! x2] [Opponent's Turn] This Character gains +2000 power.[On Play] If your Leader has the {Straw Hat Crew} type, give up to 1 rested DON!! card to your Leader or 1 of your Characters.",-Anime 25th Collection- [EB-02]
EB02-004,Don Accino,C,CHARACTER,8,Special,10000,1000,Red,3,Accino Family,-,-Anime 25th Collection- [EB-02]
EB02-005,Fake Straw Hat Crew,C,CHARACTER,2,Ranged,3000,-,Red,3,Fake Straw Hat Crew,[Your Turn] This Character gains +2000 power.[Opponent's Turn] Give this Character −2000 power.,-Anime 25th Collection- [EB-02]
EB02-006,Yamato,SR,CHARACTER,6,Strike,7000,-,Red,3,Land of Wano,"[Activate: Main] [Once Per Turn] If your Leader has the {Land of Wano} type or is [Portgas.D.Ace], give up to 1 rested DON!! card to 1 of your Leader. Then, this Character gains [Rush] during this turn.",-Anime 25th Collection- [EB-02]
EB02-006,Yamato,SR,CHARACTER,6,Strike,7000,-,Red,3,Land of Wano,"[Activate: Main] [Once Per Turn] If your Leader has the {Land of Wano} type or is [Portgas.D.Ace], give up to 1 rested DON!! card to 1 of your Leader. Then, this Character gains [Rush] during this turn.",-Anime 25th Collection- [EB-02]
EB02-007,Cloven Rose Blizzard,C,EVENT,3,,-,-,Red,3,Animal/Water Seven/Straw Hat Crew,"[Main] Up to a total of 3 of your Leader and Character cards gain +1000 power during this turn. Then, K.O. up to 1 of your opponent's Characters with 3000 power or less.",-Anime 25th Collection- [EB-02]
EB02-008,The Peak,R,EVENT,2,,-,-,Red,3,Music,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-Anime 25th Collection- [EB-02]
EB02-009,Thousand Sunny,C,STAGE,2,,-,-,Red,3,Straw Hat Crew,[Activate: Main] You may rest this Stage: Give up to 1 of your currently given DON!! cards to 1 of your {Straw Hat Crew} type Characters.,-Anime 25th Collection- [EB-02]
EB02-010,Monkey.D.Luffy,L,LEADER,Life4,Strike,5000,-,Green/Purple,3,Straw Hat Crew,"[Activate: Main] [Once Per Turn] DON!! −2: If the only Characters on your field are {Straw Hat Crew} type Characters, set up to 2 of your DON!! cards as active. Then, this Leader gains +1000 power until the end of your opponent's next turn.",-Anime 25th Collection- [EB-02]
EB02-010,Monkey.D.Luffy,L,LEADER,Life4,Strike,5000,-,Green/Purple,3,Straw Hat Crew,"[Activate: Main] [Once Per Turn] DON!! −2: If the only Characters on your field are {Straw Hat Crew} type Characters, set up to 2 of your DON!! cards as active. Then, this Leader gains +1000 power until the end of your opponent's next turn.",-Anime 25th Collection- [EB-02]
EB02-011,Arlong,SR,CHARACTER,3,Slash,4000,1000,Green,3,Fish-Man/East Blue/Arlong Pirates,"[On Play] If your Leader has the {Fish-Man} or {East Blue} type, give up to 1 rested DON!! card to 1 of your Leader. Then, up to 1 of your opponent's Characters with a cost of 5 or less cannot be rested until the end of your opponent's next turn.",-Anime 25th Collection- [EB-02]
EB02-011,Arlong,SR,CHARACTER,3,Slash,4000,1000,Green,3,Fish-Man/East Blue/Arlong Pirates,"[On Play] If your Leader has the {Fish-Man} or {East Blue} type, give up to 1 rested DON!! card to 1 of your Leader. Then, up to 1 of your opponent's Characters with a cost of 5 or less cannot be rested until the end of your opponent's next turn.",-Anime 25th Collection- [EB-02]
EB02-012,Gaimon,C,CHARACTER,1,Wisdom,1000,1000,Green,3,East Blue,"If you have a [Sarfunkel], this Character gains [Blocker].",-Anime 25th Collection- [EB-02]
EB02-013,Carrot,C,CHARACTER,1,Special,-,2000,Green,3,Minks,"[On Play] If you have 3 or more DON!! cards on your field, look at 7 cards from the top of your deck; reveal up to 1 [Zou] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Zou] from your hand.",-Anime 25th Collection- [EB-02]
EB02-014,Sarfunkel,C,CHARACTER,2,Wisdom,-,1000,Green,3,East Blue,[On Play] Play up to 1 [Gaimon] from your hand.,-Anime 25th Collection- [EB-02]
EB02-015,Jewelry Bonney,SR,CHARACTER,7,Special,7000,1000,Green,3,Supernovas/Bonney Pirates,"[On Play] Up to 1 of your opponent's rested Characters will not become active in your opponent's next Refresh Phase. Then, set up to 1 of your DON!! cards as active at the end of this turn.",-Anime 25th Collection- [EB-02]
EB02-015,Jewelry Bonney,SR,CHARACTER,7,Special,7000,1000,Green,3,Supernovas/Bonney Pirates,"[On Play] Up to 1 of your opponent's rested Characters will not become active in your opponent's next Refresh Phase. Then, set up to 1 of your DON!! cards as active at the end of this turn.",-Anime 25th Collection- [EB-02]
EB02-016,Chopperman,C,CHARACTER,5,Strike,6000,1000,Green,3,Animal/Straw Hat Crew,Also treat this card's name as [Tony Tony.Chopper] according to the rules.[On Play] Play up to 1 {Animal} type Character card with a cost of 3 or less from your hand.,-Anime 25th Collection- [EB-02]
EB02-017,Nami,R,CHARACTER,1,Wisdom,2000,1000,Green,3,East Blue/Straw Hat Crew,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-Anime 25th Collection- [EB-02]
EB02-017,Nami,R,CHARACTER,1,Wisdom,2000,1000,Green,3,East Blue/Straw Hat Crew,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-Anime 25th Collection- [EB-02]
EB02-018,Buggy,R,CHARACTER,4,Slash,6000,-,Green,3,East Blue/Buggy Pirates,"[On Play] If you have no other [Buggy] Characters, up to 1 of your Leader gains [Double Attack] during this turn.",-Anime 25th Collection- [EB-02]
EB02-019,Roronoa Zoro,R,CHARACTER,4,Slash,5000,1000,Green,3,East Blue/Straw Hat Crew,"If your opponent has 2 or more Characters, this Character can attack Characters on the turn in which it is played.[On Play] If your Leader has the {Straw Hat Crew} type, rest up to 1 of your opponent's Characters with a cost of 4 or less.",-Anime 25th Collection- [EB-02]
EB02-020,We Are!,R,EVENT,2,,-,-,Green,3,Music,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 card with a cost of 4 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-Anime 25th Collection- [EB-02]
EB02-021,Gum-Gum Giant Pistol,C,EVENT,3,,-,-,Green,3,Water Seven/Straw Hat Crew,"[Main] Up to 1 of your {Straw Hat Crew} type Characters gains +6000 power during this turn. Then, the selected Character will not become active in your next Refresh Phase.",-Anime 25th Collection- [EB-02]
EB02-022,Usopp,R,CHARACTER,4,Ranged,5000,1000,Blue,3,East Blue/Straw Hat Crew,"[On Play] If you have 2 or less Characters with 5000 power or more, play up to 1 Character card with 6000 power or less and no base effect from your hand.",-Anime 25th Collection- [EB-02]
EB02-022,Usopp,R,CHARACTER,4,Ranged,5000,1000,Blue,3,East Blue/Straw Hat Crew,"[On Play] If you have 2 or less Characters with 5000 power or more, play up to 1 Character card with 6000 power or less and no base effect from your hand.",-Anime 25th Collection- [EB-02]
EB02-023,Crocodile,C,CHARACTER,4,Special,5000,1000,Blue,3,The Seven Warlords of the Sea/Baroque Works,"[Your Turn] [Once Per Turn] When your opponent's Character is returned to the owner's hand by your effect, look at 3 cards from the top of your deck and place them at the top or bottom of the deck in any order.",-Anime 25th Collection- [EB-02]
EB02-024,Sogeking,C,CHARACTER,4,Ranged,5000,1000,Blue,3,Sniper Island,"Also treat this card's name as [Usopp] according to the rules.[On Play] Draw 2 cards and place 2 cards from your hand at the bottom of your deck in any order. Then, return up to 1 Character with a cost of 1 or less to the owner's hand.",-Anime 25th Collection- [EB-02]
EB02-025,Donquixote Rosinante,R,CHARACTER,2,Special,3000,1000,Blue,3,Navy/Donquixote Pirates,"[Activate: Main] You may rest 1 of your DON!! cards and this Character: If your Leader is [Donquixote Rosinante], look at 5 cards from the top of your deck; play up to 1 Character card with a cost of 2 or less rested. Then, place the rest at the bottom of your deck in any order.",-Anime 25th Collection- [EB-02]
EB02-026,Nefeltari Vivi,SR,CHARACTER,3,Slash,2000,1000,Blue,3,Alabasta,"[On Play] If your Leader is multicolored and you have 5 or less cards in your hand, draw 2 cards.",-Anime 25th Collection- [EB-02]
EB02-026,Nefeltari Vivi,SR,CHARACTER,3,Slash,2000,1000,Blue,3,Alabasta,"[On Play] If your Leader is multicolored and you have 5 or less cards in your hand, draw 2 cards.",-Anime 25th Collection- [EB-02]
EB02-027,Vista,C,CHARACTER,4,Slash,5000,1000,Blue,3,Whitebeard Pirates,[On Play] Place up to 1 of your opponent's Characters with 1000 power or less at the bottom of the owner's deck.,-Anime 25th Collection- [EB-02]
EB02-028,Portgas.D.Ace,R,CHARACTER,5,Special,5000,1000,Blue,3,Alabasta/Whitebeard Pirates,"[On Play] If your Leader's type includes ""Whitebeard Pirates"", look at 5 cards from the top of your deck; reveal up to 1 Character card with a cost of 2 and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 Character card with a cost of 2 from your hand rested.",-Anime 25th Collection- [EB-02]
EB02-029,Grandpa Ryu,C,CHARACTER,3,Wisdom,5000,1000,Blue,3,Animal/East Blue,-,-Anime 25th Collection- [EB-02]
