card_id,name,rarity,type,cost,attribute,power,counter,color,block,feature,effect,set
OP07-001,Monkey.D.Dragon,L,LEADER,Life5,Special,5000,-,Red,2,Revolutionary Army,[Activate: Main] [Once Per Turn] Give up to 2 total of your currently given DON!! cards to 1 of your Characters.,-500 YEARS IN THE FUTURE- [OP-07]
OP07-001,Monkey.D.Dragon,L,LEADER,Life5,Special,5000,-,Red,2,Revolutionary Army,[Activate: Main] [Once Per Turn] Give up to 2 total of your currently given DON!! cards to 1 of your Characters.,-500 YEARS IN THE FUTURE- [OP-07]
OP07-002,Ain,R,CHARACTER,7,Special,6000,-,Red,2,FILM/Neo Navy,[On Play] Set the power of up to 1 of your opponent's Characters to 0 during this turn.,-500 YEARS IN THE FUTURE- [OP-07]
OP07-003,Outlook III,R,CHARACTER,2,Wisdom,-,1000,Red,2,Goa Kingdom,[Activate: Main] You may trash this Character: Give up to 2 of your opponent's Characters −2000 power during this turn.,-500 YEARS IN THE FUTURE- [OP-07]
OP07-004,Curly.Dadan,R,CHARACTER,2,Slash,3000,1000,Red,2,Mountain Bandits,"[On Play] You may trash 1 card from your hand: Look at 5 cards from the top of your deck; reveal up to 1 Character card with 2000 power or less and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-500 YEARS IN THE FUTURE- [OP-07]
OP07-005,Carina,R,CHARACTER,3,Wisdom,-,1000,Red,2,FILM/Grantesoro,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.",-500 YEARS IN THE FUTURE- [OP-07]
OP07-005,Carina,R,CHARACTER,3,Wisdom,-,1000,Red,2,FILM/Grantesoro,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.",-500 YEARS IN THE FUTURE- [OP-07]
OP07-006,Sterry,C,CHARACTER,1,Wisdom,1000,1000,Red,2,Goa Kingdom,[On Play] You may give your 1 active Leader −5000 power during this turn: Draw 1 card and trash 1 card from your hand.,-500 YEARS IN THE FUTURE- [OP-07]
OP07-007,Dice,C,CHARACTER,4,Strike,6000,1000,Red,2,FILM/Grantesoro,-,-500 YEARS IN THE FUTURE- [OP-07]
OP07-008,Mr. Tanaka,UC,CHARACTER,3,Special,3000,-,Red,2,FILM/Grantesoro,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",-500 YEARS IN THE FUTURE- [OP-07]
OP07-009,Dogura & Magura,C,CHARACTER,2,Slash,3000,1000,Red,2,Mountain Bandits,[On Play] Up to 1 of your red Characters with a cost of 1 gains [Double Attack] during this turn.(This card deals 2 damage.),-500 YEARS IN THE FUTURE- [OP-07]
OP07-010,Baccarat,R,CHARACTER,3,Special,4000,1000,Red,2,FILM/Grantesoro,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +2000 power during this battle.",-500 YEARS IN THE FUTURE- [OP-07]
OP07-011,Bluejam,C,CHARACTER,4,Ranged,5000,1000,Red,2,Goa Kingdom/Bluejam Pirates,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's Characters with 2000 power or less.,-500 YEARS IN THE FUTURE- [OP-07]
