card_id,name,rarity,type,cost,attribute,power,counter,color,block,feature,effect,set,image_url
OP08-052,Portgas.D.Ace,R,CHARACTER,5,Special,6000,1000,Blue,2,Whitebeard Pirates,"[On Play] Reveal 1 card from the top of your deck and play up to 1 Character card with a type including ""Whitebeard Pirates"" and a cost of 4 or less. Then, place the rest at the top or bottom of your deck.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP08-052_p2.png?250425
OP10-001,Smoker,L,LEADER,Life4,Slash,5000,-,Red/Green,3,Punk Hazard/Navy,"[Opponent's Turn] All of your {Navy} or {Punk Hazard} type Characters gain +1000 power.[Activate: Main] [Once Per Turn] If you have a Character with 7000 power or more, set up to 2 of your DON!! cards as active.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-001.png?250425
OP10-001,Smoker,L,LEADER,Life4,Slash,5000,-,Red/Green,3,Punk Hazard/Navy,"[Opponent's Turn] All of your {Navy} or {Punk Hazard} type Characters gain +1000 power.[Activate: Main] [Once Per Turn] If you have a Character with 7000 power or more, set up to 2 of your DON!! cards as active.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-001_p1.png?250425
OP10-002,Caesar Clown,L,LEADER,Life4,Special,5000,-,Red/Blue,3,Scientist/Punk Hazard,[DON!! x2] [When Attacking] You may return 1 of your {Punk Hazard} type Characters with a cost of 2 or more to the owner's hand: K.O. up to 1 of your opponent's Characters with 4000 power or less.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-002.png?250425
OP10-002,Caesar Clown,L,LEADER,Life4,Special,5000,-,Red/Blue,3,Scientist/Punk Hazard,[DON!! x2] [When Attacking] You may return 1 of your {Punk Hazard} type Characters with a cost of 2 or more to the owner's hand: K.O. up to 1 of your opponent's Characters with 4000 power or less.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-002_p1.png?250425
OP10-003,Sugar,L,LEADER,Life4,Special,5000,-,Red/Purple,3,Donquixote Pirates,"[End of Your Turn] If you have a {Donquixote Pirates} type Character with 6000 power or more, set up to 1 of your DON!! cards as active.[Opponent's Turn] [Once Per Turn] When you activate an Event, add up to 1 DON!! card from your DON!! deck and set it as active.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-003.png?250425
OP10-003,Sugar,L,LEADER,Life4,Special,5000,-,Red/Purple,3,Donquixote Pirates,"[End of Your Turn] If you have a {Donquixote Pirates} type Character with 6000 power or more, set up to 1 of your DON!! cards as active.[Opponent's Turn] [Once Per Turn] When you activate an Event, add up to 1 DON!! card from your DON!! deck and set it as active.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-003_p1.png?250425
OP10-004,Vergo,R,CHARACTER,1,Strike,2000,1000,Red,3,Punk Hazard/Navy/Donquixote Pirates,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Punk Hazard} type card other than [Vergo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-004.png?250425
OP10-005,Sanji,SR,CHARACTER,3,Special,3000,1000,Red,3,Punk Hazard/Straw Hat Crew,[Your Turn] This Character gains +3000 power.[On K.O.] Draw 1 card.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-005.png?250425
OP10-005,Sanji,SR,CHARACTER,3,Special,3000,1000,Red,3,Punk Hazard/Straw Hat Crew,[Your Turn] This Character gains +3000 power.[On K.O.] Draw 1 card.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-005_p1.png?250425
