card_id,name,rarity,type,cost,attribute,power,counter,color,block,feature,effect,set
ST09-001,Yamato,L,LEADER,Life5,Strike,5000,-,Yellow,1,Land of Wano,"[DON!! x1] [Opponent's Turn] If you have 2 or less Life cards, this Leader gains +1000 power.",-Yamato-[ST-09]
ST09-002,Uzuki Tempura,C,CHARACTER,4,Slash,5000,1000,Yellow,1,Land of Wano,-,-Yamato-[ST-09]
ST09-003,Ulti,C,CHARACTER,4,Strike,6000,1000,Yellow,1,Animal Kingdom Pirates,-,-Yamato-[ST-09]
ST09-004,Kaido,C,CHARACTER,4,Special,5000,1000,Yellow,1,The Four Emperors/Animal Kingdom Pirates,"[DON!! x1] If you have 2 or less Life cards, this Character cannot be K.O.'d in battle.",-Yamato-[ST-09]
ST09-005,Kouzuki Oden,SR,CHARACTER,7,Slash,7000,-,Yellow,1,Land of Wano/Kouzuki Clan,[DON!! x1] This Character gains [Double Attack].(This card deals 2 damage.)[On K.O.] You may trash 2 cards from your hand: Add up to 1 card from the top of your deck to the top of your Life cards.,-Yamato-[ST-09]
ST09-006,Kouzuki Momonosuke,C,CHARACTER,2,Special,4000,1000,Yellow,1,Land of Wano/Kouzuki Clan,-,-Yamato-[ST-09]
ST09-007,Shinobu,C,CHARACTER,3,Special,2000,-,Yellow,1,Land of Wano,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Block] You may add 1 card from the top or bottom of your Life cards to your hand: This Character gains +4000 power during this battle.",-Yamato-[ST-09]
ST09-008,Shimotsuki Ushimaru,C,CHARACTER,5,Slash,6000,-,Yellow,1,Land of Wano,[DON!! x1] [When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: Play up to 1 yellow {Land of Wano} type Character card with a cost of 4 or less from your hand.,-Yamato-[ST-09]
ST09-009,Fugetsu Omusubi,C,CHARACTER,3,Slash,4000,1000,Yellow,1,Land of Wano,-,-Yamato-[ST-09]
ST09-010,Portgas.D.Ace,SR,CHARACTER,6,Special,7000,-,Yellow,1,Land of Wano/Whitebeard Pirates,"[Once Per Turn] If this Character would be K.O.'d, you may trash 1 card from the top or bottom of your Life cards instead.",-Yamato-[ST-09]
ST09-011,Monkey.D.Luffy,C,CHARACTER,3,Strike,5000,1000,Yellow,1,Land of Wano/Straw Hat Crew,-,-Yamato-[ST-09]
ST09-012,Yamato,C,CHARACTER,3,Strike,3000,2000,Yellow,1,Land of Wano,[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: This Character gains +2000 power until the start of your next turn.,-Yamato-[ST-09]
ST09-013,Yamato,C,CHARACTER,5,Special,7000,1000,Yellow,1,Land of Wano,-,-Yamato-[ST-09]
ST09-014,Narikabura Arrow,C,EVENT,1,,-,-,Yellow,1,Land of Wano,"[Counter] If you have 2 or less Life cards, give up to 1 of your opponent's Leader or Character cards −3000 power during this turn.",-Yamato-[ST-09]
ST09-015,Thunder Bagua,C,EVENT,2,,-,-,Yellow,1,Land of Wano,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, if you have 2 or less Life cards, add up to 1 of your opponent's Characters with a cost of 3 or less to the top or bottom of the owner's Life cards face-up.",-Yamato-[ST-09]
